 DISTRICT,BLOCK,PANCHAYAT
 ANUGUL, KANIHA, BURUKUNA
 ANUGUL, KANIHA, DALAKA
 ANUGUL, KANIHA, DERANGA
 ANUGUL, KANIHA, GADASILA
 ANUGUL, KANIHA, GENDAMALA
 ANUGUL, KANIHA, HANUMANPUR
 ANUGUL, KANIHA, HARIHARPUR
 ANUGUL, KANIHA, JARADA
 ANUGUL, KANIHA, KAKUDIA
 ANUGUL, KANIHA, KAMAERI
 ANUGUL, KANIHA, KANIHA
 ANUGUL, KANIHA, KARANAPAL
 ANUGUL, KANIHA, KUILEI
 ANUGUL, KANIHA, KULUMO
 ANUGUL, KANIHA, PARABIL
 ANUGUL, KANIHA, RENGALI
 ANUGUL, KANIHA, SAMALA
 ANUGUL, KANIHA, SANTRIBEDA
 ANUGUL, KANIHA, SUSABA
 ANUGUL, KANIHA, TALAPADA
 ANUGUL, KISHORENAGAR, AMBAPAL
 ANUGUL, KISHORENAGAR, ANGAPADA
 ANUGUL, KISHORENAGAR, BILEINALLI
 ANUGUL, KISHORENAGAR, BOMUR
 ANUGUL, KISHORENAGAR, DHADARPAL
 ANUGUL, KISHORENAGAR, DHAURAPALI
 ANUGUL, KISHORENAGAR, GAN BOINDA
 ANUGUL, KISHORENAGAR, HANDAPA
 ANUGUL, KISHORENAGAR, HIMITIRA
 ANUGUL, KISHORENAGAR, JAIRAT
 ANUGUL, KISHORENAGAR, JAMUNELI
 ANUGUL, KISHORENAGAR, JHARABARINI
 ANUGUL, KISHORENAGAR, KADALIMUNDA
 ANUGUL, KISHORENAGAR, KANTEIKULIA
 ANUGUL, KISHORENAGAR, KATRANGA
 ANUGUL, KISHORENAGAR, LUHAMUNDA
 ANUGUL, KISHORENAGAR, NAKEHI
 ANUGUL, KISHORENAGAR, NUNUKAPASI
 ANUGUL, KISHORENAGAR, OSAKAPALI
 ANUGUL, KISHORENAGAR, RANIAKATTA
 ANUGUL, KISHORENAGAR, SANJAMURA
 ANUGUL, KISHORENAGAR, THELEKANALI
 ANUGUL, KISHORENAGAR, URUKULA
 ANUGUL, BANARPAL, NUAMAUJA
 ANUGUL, PALALAHADA, ALLLORI
 ANUGUL, PALALAHADA, BAANDHABHUIN
 ANUGUL, PALALAHADA, BADASADA
 ANUGUL, PALALAHADA, BALIPASI
 ANUGUL, PALALAHADA, BARADIHA
 ANUGUL, PALALAHADA, BATISUAN
 ANUGUL, PALALAHADA, CHASAGURUJANGA
 ANUGUL, PALALAHADA, DIMIRIA
 ANUGUL, PALALAHADA, INJIDI
 ANUGUL, PALALAHADA, ISWAR NAGAR
 ANUGUL, PALALAHADA, JHARBEDA
 ANUGUL, PALALAHADA, KAMAPASI
 ANUGUL, PALALAHADA, KARADAPAL
 ANUGUL, PALALAHADA, KHAMAR
 ANUGUL, PALALAHADA, KHEMALA
 ANUGUL, PALALAHADA, KUNJAM
 ANUGUL, PALALAHADA, MUNDERIBEDA
 ANUGUL, PALALAHADA, NAGTRA
 ANUGUL, PALALAHADA, NIZIGARH
 ANUGUL, PALALAHADA, PABITRAPUR
 ANUGUL, PALALAHADA, PARACHHAT
 ANUGUL, PALALAHADA, PECHAMUNDI
 ANUGUL, PALALAHADA, RAJADANGA
 ANUGUL, PALALAHADA, ROHILA
 ANUGUL, PALALAHADA, SAIDA
 ANUGUL, PALALAHADA, SANKHAMUR
 ANUGUL, PALALAHADA, SEEGARH
 ANUGUL, TALACHER, BADAJORDA
 ANUGUL, TALACHER, BENTOL
 ANUGUL, TALACHER, BRAJANATHPUR
 ANUGUL, TALACHER, DANARA
 ANUGUL, TALACHER, DERA
 ANUGUL, TALACHER, DHARAMPUR
 ANUGUL, TALACHER, GHANTAPADA
 ANUGUL, TALACHER, GOBARA
 ANUGUL, TALACHER, GOPALAPRASAD
 ANUGUL, TALACHER, GURUJANGA
 ANUGUL, TALACHER, GURUJANGULI
 ANUGUL, TALACHER, HENSAMUL
 ANUGUL, TALACHER, JAGFANNATHPUR
 ANUGUL, TALACHER, KALEMACHHUIN
 ANUGUL, TALACHER, KANDHAL
 ANUGUL, TALACHER, KANKILI
 ANUGUL, TALACHER, KARANPUR
 ANUGUL, TALACHER, KUMUNDA
 ANUGUL, TALACHER, PADAMABATIPUR
 ANUGUL, TALACHER, SANTHAPADA
 ANUGUL, TALACHER, TENTULEI
 BALANGIR, AGALPUR, AGALPUR
 BALANGIR, AGALPUR, BABUFASAD
 BALANGIR, AGALPUR, BADTIKA
 BALANGIR, AGALPUR, BAKTI
 BALANGIR, AGALPUR, BENDRA
 BALANGIR, AGALPUR, BHARSUJA
 BALANGIR, AGALPUR, BUDULA
 BALANGIR, AGALPUR, DUDUKA
 BALANGIR, AGALPUR, JHARNIPALI
 BALANGIR, AGALPUR, KUTASINGHA
 BALANGIR, AGALPUR, LUHURAMUNDA
 BALANGIR, AGALPUR, MURSUNDHI
 BALANGIR, AGALPUR, NAGAON(A)
 BALANGIR, AGALPUR, NAGAON(B)
 BALANGIR, AGALPUR, NUNIAPALI
 BALANGIR, AGALPUR, PATUAPALI
 BALANGIR, AGALPUR, RINBACHAN
 BALANGIR, AGALPUR, ROTH
 BALANGIR, AGALPUR, SALEBHATA
 BALANGIR, AGALPUR, UPARBAHAL
 BALANGIR, BALANGIR, BAIDIPALI
 BALANGIR, BALANGIR, BARAPUDGIA
 BALANGIR, BALANGIR, BARKANI
 BALANGIR, BALANGIR, BHUNDIMUHAN
 BALANGIR, BALANGIR, BHUTIARBAHAL
 BALANGIR, BALANGIR, BIDIGHAT
 BALANGIR, BALANGIR, CHANDANBHATI
 BALANGIR, BALANGIR, CHIKALBAHAL
 BALANGIR, BALANGIR, CHUDAPALI
 BALANGIR, BALANGIR, JHANKARPALI
 BALANGIR, BALANGIR, KHALIAPALI
 BALANGIR, BALANGIR, KHUJENPALI
 BALANGIR, BALANGIR, KHUNTPALI
 BALANGIR, BALANGIR, KUDASINGHA
 BALANGIR, BALANGIR, KUTUMDOLA
 BALANGIR, BALANGIR, MADHIAPALI
 BALANGIR, BALANGIR, MANHIRA
 BALANGIR, BALANGIR, MAYABARHA
 BALANGIR, BALANGIR, MIRDHAPALI
 BALANGIR, BALANGIR, SADEIPALI
 BALANGIR, BALANGIR, SAHAJBAHAL
 BALANGIR, BALANGIR, SAKMA
 BALANGIR, BALANGIR, SIBTALA
 BALANGIR, BALANGIR, SIKACHHIDA
 BALANGIR, BALANGIR, TUSURABAHAL
 BALANGIR, BANGOMUNDA, ALANDA
 BALANGIR, BANGOMUNDA, ARSATULA
 BALANGIR, BANGOMUNDA, BALDHA
 BALANGIR, BANGOMUNDA, BANGOMUNDA
 BALANGIR, BANGOMUNDA, BELPADA
 BALANGIR, BANGOMUNDA, BHALUMUNDA
 BALANGIR, BANGOMUNDA, BHURSAGUDA
 BALANGIR, BANGOMUNDA, BHUSLAD
 BALANGIR, BANGOMUNDA, BIRIPALI
 BALANGIR, BANGOMUNDA, CHANDATORA
 BALANGIR, BANGOMUNDA, CHULIFUNKA
 BALANGIR, BANGOMUNDA, DEDGAON
 BALANGIR, BANGOMUNDA, GANDHARABANDA
 BALANGIR, BANGOMUNDA, GANDHARALA
 BALANGIR, BANGOMUNDA, JAMKHUNTA
 BALANGIR, BANGOMUNDA, JHALAP
 BALANGIR, BANGOMUNDA, JHARIAL
 BALANGIR, BANGOMUNDA, JURABANDH
 BALANGIR, BANGOMUNDA, KANSIL
 BALANGIR, BANGOMUNDA, KAPILABHATA
 BALANGIR, BANGOMUNDA, KHAIRA
 BALANGIR, BANGOMUNDA, KUNDABUTALA
 BALANGIR, BANGOMUNDA, MUDPADAR
 BALANGIR, BANGOMUNDA, SINDHEKELA
 BALANGIR, BANGOMUNDA, THEMRA
 BALANGIR, BANGOMUNDA, TUREIKELA
 BALANGIR, BELPARA, BAGDOR
 BALANGIR, BELPARA, BAHABAL
 BALANGIR, BELPARA, BALIKHAMAR
 BALANGIR, BELPARA, BEHERAMUNDA
 BALANGIR, BELPARA, BELPADA
 BALANGIR, BELPARA, BHARUAPALI
 BALANGIR, BELPARA, DARLIPALI
 BALANGIR, BELPARA, DHUMABHATA
 BALANGIR, BELPARA, GAMBHARI
 BALANGIR, BELPARA, GHAGURLI
 BALANGIR, BELPARA, JUBA
 BALANGIR, BELPARA, KANDHENJHULA
 BALANGIR, BELPARA, KANUT
 BALANGIR, BELPARA, KAPANI
 BALANGIR, BELPARA, MADHYAPUR
 BALANGIR, BELPARA, MANDAL
 BALANGIR, BELPARA, NUNHAD
 BALANGIR, BELPARA, PANDRIJORE
 BALANGIR, BELPARA, PARLIMAL
 BALANGIR, BELPARA, SALANDI
 BALANGIR, BELPARA, SARMUHAN
 BALANGIR, BELPARA, SIHINI
 BALANGIR, BELPARA, SULEKELA
 BALANGIR, BELPARA, TENTELMUNDA
 BALANGIR, DEOGAON, ARJUNPUR
 BALANGIR, DEOGAON, BADBAHAL
 BALANGIR, DEOGAON, BADBANDH
 BALANGIR, DEOGAON, BANDHAPADA
 BALANGIR, DEOGAON, BRAHMANIJORE
 BALANGIR, DEOGAON, DEOGAON
 BALANGIR, DEOGAON, DESANDH
 BALANGIR, DEOGAON, DHANDAMAL
 BALANGIR, DEOGAON, DUMERPITA
 BALANGIR, DEOGAON, GAIBAHAL
 BALANGIR, DEOGAON, GOUDGOTH
 BALANGIR, DEOGAON, GUDKHAPALA
 BALANGIR, DEOGAON, HATISARA
 BALANGIR, DEOGAON, JARASINGHA
 BALANGIR, DEOGAON, KULTAPADA
 BALANGIR, DEOGAON, KUTURLA
 BALANGIR, DEOGAON, LANDAPATHAR
 BALANGIR, DEOGAON, MAHALEI
 BALANGIR, DEOGAON, MAKUNDPUR
 BALANGIR, DEOGAON, RAMACHANDRAPUR
 BALANGIR, DEOGAON, SALEPALI
 BALANGIR, DEOGAON, SARASMAL
 BALANGIR, DEOGAON, SIKUAN
 BALANGIR, DEOGAON, SINGHAMUNDA
 BALANGIR, DEOGAON, UDAR
 BALANGIR, DEOGAON, UPARJHAR
 BALANGIR, GUDVELLA, BIRAMUNDA
 BALANGIR, GUDVELLA, CHINCHED
 BALANGIR, GUDVELLA, DEULGUDI
 BALANGIR, GUDVELLA, GAMBHARIGUDA
 BALANGIR, GUDVELLA, GHUNA
 BALANGIR, GUDVELLA, GUDVELA
 BALANGIR, GUDVELLA, JAMUT
 BALANGIR, GUDVELLA, MADHEKELA
 BALANGIR, GUDVELLA, SAMARA
 BALANGIR, GUDVELLA, TENTELKHUNTI
 BALANGIR, KHAPRAKHOL, BAGHMUND
 BALANGIR, KHAPRAKHOL, BENDER
 BALANGIR, KHAPRAKHOL, BHANPUR
 BALANGIR, KHAPRAKHOL, CHANGRIA
 BALANGIR, KHAPRAKHOL, DAMEIPALI
 BALANGIR, KHAPRAKHOL, DHANDAMUNDA
 BALANGIR, KHAPRAKHOL, GHUNSAR
 BALANGIR, KHAPRAKHOL, KARUANJHAR
 BALANGIR, KHAPRAKHOL, KHAPARAKHOL
 BALANGIR, KHAPRAKHOL, LATHORE
 BALANGIR, KHAPRAKHOL, LUHASINGHA
 BALANGIR, KHAPRAKHOL, MAHARAPADAR
 BALANGIR, KHAPRAKHOL, MALPADA
 BALANGIR, KHAPRAKHOL, MATIABHATA
 BALANGIR, KHAPRAKHOL, NANDUPALA
 BALANGIR, KHAPRAKHOL, ODIAPALI
 BALANGIR, KHAPRAKHOL, PADIABAHAL
 BALANGIR, KHAPRAKHOL, RENGALI
 BALANGIR, KHAPRAKHOL, SAHAJPANI
 BALANGIR, KHAPRAKHOL, TANKAPANI
 BALANGIR, KHAPRAKHOL, TELENPALI
 BALANGIR, LOISINGA, BADIBAHAL
 BALANGIR, LOISINGA, BADIMUNDA
 BALANGIR, LOISINGA, BANIPALI
 BALANGIR, LOISINGA, BUDHIPADAR
 BALANGIR, LOISINGA, BURDA
 BALANGIR, LOISINGA, G.S.DUNGRIPALLI
 BALANGIR, LOISINGA, HIRAPUR
 BALANGIR, LOISINGA, JHARMUNDA
 BALANGIR, LOISINGA, JOGISARDA
 BALANGIR, LOISINGA, KANDAJURI
 BALANGIR, LOISINGA, KUSANG
 BALANGIR, LOISINGA, KUSMEL
 BALANGIR, LOISINGA, KUTENPALI
 BALANGIR, LOISINGA, LOISINGHA
 BALANGIR, LOISINGA, MAGURBEDA
 BALANGIR, LOISINGA, RATAKHANDI
 BALANGIR, LOISINGA, RENGALI
 BALANGIR, LOISINGA, SARGAD
 BALANGIR, LOISINGA, TALIUDAR
 BALANGIR, LOISINGA, UPARBAHAL
 BALANGIR, MURIBAHAL, BADSAIMARA
 BALANGIR, MURIBAHAL, BANDUPALA
 BALANGIR, MURIBAHAL, BANKEL
 BALANGIR, MURIBAHAL, BELPADAR
 BALANGIR, MURIBAHAL, BITABANDH
 BALANGIR, MURIBAHAL, CHALKI
 BALANGIR, MURIBAHAL, CHANABAHAL
 BALANGIR, MURIBAHAL, DANGARPADA
 BALANGIR, MURIBAHAL, GADAGADABAHAL
 BALANGIR, MURIBAHAL, GANREI
 BALANGIR, MURIBAHAL, GOIMUND
 BALANGIR, MURIBAHAL, GUDIGHAT
 BALANGIR, MURIBAHAL, HALDI
 BALANGIR, MURIBAHAL, ICHHAPADA
 BALANGIR, MURIBAHAL, LAKHANA
 BALANGIR, MURIBAHAL, LEBEDA
 BALANGIR, MURIBAHAL, MALISIRA
 BALANGIR, MURIBAHAL, MURIBAHAL
 BALANGIR, MURIBAHAL, PATRAPALI
 BALANGIR, MURIBAHAL, PATRAPALI(KHA)
 BALANGIR, MURIBAHAL, TENTULIKHUNTI
 BALANGIR, MURIBAHAL, TUPAUDAR
 BALANGIR, TITLAGARH, BADANGOMUNDA
 BALANGIR, TITLAGARH, NUAPADA
 BALANGIR, TITLAGARH, RUSUDA
 BALANGIR, PATNAGARH, BALIPATA
 BALANGIR, PATNAGARH, BANEIMUNDA
 BALANGIR, PATNAGARH, BARPADAR
 BALANGIR, PATNAGARH, BATHARLA
 BALANGIR, PATNAGARH, BHAINSA
 BALANGIR, PATNAGARH, BHARATBAHAL
 BALANGIR, PATNAGARH, DANGBAHAL
 BALANGIR, PATNAGARH, DEULGAON
 BALANGIR, PATNAGARH, DHATUK
 BALANGIR, PATNAGARH, DUBHALAPADA
 BALANGIR, PATNAGARH, FATAMUNDA
 BALANGIR, PATNAGARH, GANGASAGAR
 BALANGIR, PATNAGARH, GERDA
 BALANGIR, PATNAGARH, GHASIAN
 BALANGIR, PATNAGARH, GHUCHEPALI
 BALANGIR, PATNAGARH, JOGIMUNDA
 BALANGIR, PATNAGARH, KENDUMUNDI
 BALANGIR, PATNAGARH, KERBEDA
 BALANGIR, PATNAGARH, KHUNTSAMALAI
 BALANGIR, PATNAGARH, KHURSEL
 BALANGIR, PATNAGARH, LARAMBHA
 BALANGIR, PATNAGARH, MARUAN
 BALANGIR, PATNAGARH, MUNDOMAHUL
 BALANGIR, PATNAGARH, PANDAMUNDA
 BALANGIR, PATNAGARH, SALEPALI
 BALANGIR, PATNAGARH, SOLEBANDH
 BALANGIR, PATNAGARH, SUNAMUDI
 BALANGIR, PATNAGARH, TAMIAN
 BALANGIR, PATNAGARH, TENDAPADAR
 BALANGIR, PATNAGARH, ULBA
 BALANGIR, PUINTALA, AINLASARI
 BALANGIR, PUINTALA, ANKIRIAPADAR
 BALANGIR, PUINTALA, ATGAON
 BALANGIR, PUINTALA, BAHALPADAR
 BALANGIR, PUINTALA, BAIRASAR
 BALANGIR, PUINTALA, BANDHAPADA
 BALANGIR, PUINTALA, BHALER
 BALANGIR, PUINTALA, BILEISARDA
 BALANGIR, PUINTALA, BUBEL
 BALANGIR, PUINTALA, CHHATAMAKHNA
 BALANGIR, PUINTALA, CHHATAPIPAL
 BALANGIR, PUINTALA, DURGAPALI
 BALANGIR, PUINTALA, DUSPUR
 BALANGIR, PUINTALA, GAINTALA
 BALANGIR, PUINTALA, JAMGAON
 BALANGIR, PUINTALA, KHALIAPALI
 BALANGIR, PUINTALA, KURUL
 BALANGIR, PUINTALA, LUKAPADA
 BALANGIR, PUINTALA, MAHIMUNDA
 BALANGIR, PUINTALA, MALMUNDA
 BALANGIR, PUINTALA, PATHARALA
 BALANGIR, PUINTALA, PIPIRDA
 BALANGIR, PUINTALA, PUINTALA
 BALANGIR, PUINTALA, RANDA
 BALANGIR, PUINTALA, SAUNTPUR
 BALANGIR, SAINTALA, AMPALI
 BALANGIR, SAINTALA, BELGAON
 BALANGIR, SAINTALA, BHADRA
 BALANGIR, SAINTALA, BIBINA
 BALANGIR, SAINTALA, BUDABAHAL
 BALANGIR, SAINTALA, DENG
 BALANGIR, SAINTALA, DHARAPGARH
 BALANGIR, SAINTALA, DUNGURIPALI
 BALANGIR, SAINTALA, GANDPATRAPALI
 BALANGIR, SAINTALA, GHUNSAR
 BALANGIR, SAINTALA, JHINKIDUNGURI
 BALANGIR, SAINTALA, JURABANDH
 BALANGIR, SAINTALA, KANDHKELGAON
 BALANGIR, SAINTALA, KANSAR
 BALANGIR, SAINTALA, KARAMTALA
 BALANGIR, SAINTALA, KERMELI
 BALANGIR, SAINTALA, KUIKEDA
 BALANGIR, SAINTALA, KUMBHARI
 BALANGIR, SAINTALA, SAINTALA
 BALANGIR, SAINTALA, SISKELA
 BALANGIR, SAINTALA, TALBAHAL
 BALANGIR, SAINTALA, TIKRAPADA
 BALANGIR, TITLAGARH, ADABAHAL
 BALANGIR, TITLAGARH, BANDUPALA
 BALANGIR, TITLAGARH, BANJIPADAR
 BALANGIR, TITLAGARH, BHALEGAON
 BALANGIR, TITLAGARH, BIJEPUR
 BALANGIR, TITLAGARH, BINEKELA
 BALANGIR, TITLAGARH, DIGSIRA
 BALANGIR, TITLAGARH, GHANTABAHALI
 BALANGIR, TITLAGARH, GHODAR
 BALANGIR, TITLAGARH, JAGUA
 BALANGIR, TITLAGARH, KATARKELA
 BALANGIR, TITLAGARH, KHOLAN
 BALANGIR, TITLAGARH, KURSUD
 BALANGIR, TITLAGARH, KUSKELA
 BALANGIR, TITLAGARH, LUTHURBANDH
 BALANGIR, TITLAGARH, MAHULPADA
 BALANGIR, TITLAGARH, MANIGAON
 BALANGIR, TITLAGARH, MARLAD
 BALANGIR, TITLAGARH, NAREN
 BALANGIR, TITLAGARH, PARASARA
 BALANGIR, TITLAGARH, SAGADGHAT
 BALANGIR, TITLAGARH, SIHINI
 BALANGIR, TITLAGARH, SILUAN
 BALANGIR, TITLAGARH, SURDA
 BALANGIR, TUREKELA, BADBANKI
 BALANGIR, TUREKELA, BADDAKLA
 BALANGIR, TUREKELA, BUROMAL
 BALANGIR, TUREKELA, CHATUANKA
 BALANGIR, TUREKELA, CHAULSUKHA
 BALANGIR, TUREKELA, DHAMANDANGA
 BALANGIR, TUREKELA, DHOLMANDAL
 BALANGIR, TUREKELA, GHUNESH
 BALANGIR, TUREKELA, HALANBHATA
 BALANGIR, TUREKELA, HIAL
 BALANGIR, TUREKELA, JHARANI
 BALANGIR, TUREKELA, KAMEIMUNDA
 BALANGIR, TUREKELA, KANDEI
 BALANGIR, TUREKELA, KARUANMUNDA
 BALANGIR, TUREKELA, KHAGSA
 BALANGIR, TUREKELA, KUIBAHAL
 BALANGIR, TUREKELA, MAHAKHAND
 BALANGIR, TUREKELA, MAHULPATI
 BALANGIR, TUREKELA, TUREKELA
 BALESHWAR, BAHANAGA, ANJU
 BALESHWAR, BAHANAGA, ARUHABAD
 BALESHWAR, BAHANAGA, AVANA
 BALESHWAR, BAHANAGA, BAHANAGA
 BALESHWAR, BAHANAGA, BARIPADA
 BALESHWAR, BAHANAGA, BISHNUPUR
 BALESHWAR, BAHANAGA, CHAKJAGANNATH
 BALESHWAR, BAHANAGA, DANDAHARIPUR
 BALESHWAR, BAHANAGA, GOPALPUR
 BALESHWAR, BAHANAGA, KALYANI
 BALESHWAR, BAHANAGA, KASABAJAYAPUR
 BALESHWAR, BAHANAGA, KHANTAPADA
 BALESHWAR, BAHANAGA, KHARASAHAPUR
 BALESHWAR, BAHANAGA, KOCHIAKOILI
 BALESHWAR, BAHANAGA, KURUDA
 BALESHWAR, BAHANAGA, LATHARPENTHA
 BALESHWAR, BAHANAGA, NUAPUR
 BALESHWAR, BAHANAGA, ODASALA
 BALESHWAR, BAHANAGA, OHITTOL
 BALESHWAR, BAHANAGA, PANDASUNI
 BALESHWAR, BAHANAGA, RANAPANA
 BALESHWAR, BAHANAGA, SAHASPUR
 BALESHWAR, BAHANAGA, SAUD
 BALESHWAR, BAHANAGA, TALAKURUNIA
 BALESHWAR, BALESHWAR, ALUMEDA
 BALESHWAR, BALESHWAR, ANKO
 BALESHWAR, BALESHWAR, ATTAPUR
 BALESHWAR, BALESHWAR, BAHABALPUR
 BALESHWAR, BALESHWAR, BAINCHA
